,GENEID,GENENAME,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1115,ENSMUSG00000054720,Lrrc8c,1598.80658830097,0.665015447360632,0.170477747625195,3.90089297063394,9.58385181492737E-05,0.000525020952251
1116,ENSMUSG00000039509,Nup133,4076.95670031154,0.512829096918264,0.131559430494427,3.89807933183466,9.69586552424421E-05,0.000530967365874
1117,ENSMUSG00000035242,Oaz1,5994.78764239674,0.444628563734131,0.114077242903786,3.89760965830087,9.71468365777237E-05,0.00053180775406
1118,ENSMUSG00000020530,Ggnbp2,6765.66909642998,0.38707859580518,0.099328983398751,3.89693503910407,9.74177357501558E-05,0.00053310019953
1119,ENSMUSG00000047044,D030056L22Rik,434.009650722537,0.696117922801735,0.17867988643552,3.89589414168865,9.7837116725546E-05,0.000535203970316
1120,ENSMUSG00000001415,Smg5,2911.02903373412,0.475167530638888,0.121972373089176,3.89569800606801,9.79163310214528E-05,0.000535446070066
1121,ENSMUSG00000026669,Mcm10,3699.90645382929,0.439126274269107,0.11287555107418,3.8903577443491,0.000100096543613,0.000546198346464
1122,ENSMUSG00000029387,Gtf2h3,1032.25562694924,0.466175450747663,0.120061180616498,3.88281581402012,0.000103253780119,0.000562024928958
1123,ENSMUSG00000017561,Crlf3,3944.94594983258,0.37617500047953,0.096914571512287,3.88151125893218,0.000103809344998,0.000564647633995
1124,ENSMUSG00000030956,Fam53b,742.396940196201,0.798533729264876,0.205781838711532,3.88048689945021,0.00010424756033,0.000566628772736
1125,ENSMUSG00000031756,Cenpn,1501.76309657683,0.420825568354156,0.10851475679782,3.87804922364818,0.000105297415376,0.00057192925933
1126,ENSMUSG00000035900,Gramd4,764.215005739324,0.664850199621098,0.171632288813771,3.87368952669791,0.000107199966862,0.000581645340629
1127,ENSMUSG00000042308,Setd1a,3224.06703047607,0.355762719440395,0.09185050608751,3.8732799044291,0.000107380381463,0.000582416891953
1128,ENSMUSG00000033365,Ipo13,1004.22541538407,0.468409167913254,0.120961230438651,3.87239089925447,0.000107772922239,0.000584213167698
1129,ENSMUSG00000069308,Hist1h2bp,1590.35459511061,0.759905855543465,0.196658847185347,3.86408171521146,0.000111507890964,0.000602457271919
