"","GENEID","GENENAME","1_EKLF_GFP","2_EKLF_GFP","9_EKLF_GFP","3_minus","4_minus","10_minus"
"ENSMUSG00000019478","ENSMUSG00000019478","Rab4a",830.830678214042,628.961036881702,517.13418375672,433.288137254276,398.850480301858,427.605227925227
"ENSMUSG00000019487","ENSMUSG00000019487","Trip10",0,24.0124318456308,0,47.0794791665225,0,15.3361328670172
"ENSMUSG00000019494","ENSMUSG00000019494","Cops6",3083.20223496086,3059.18746954662,2852.03709072345,2795.06363218052,3019.25409495396,3107.23155734005
"ENSMUSG00000019505","ENSMUSG00000019505","Ubb",21939.6699613531,27754.4850646874,25452.3226773298,21576.7586878327,24351.9513061897,25518.7902249276
"ENSMUSG00000019518","ENSMUSG00000019518","Ap4m1",899.94453956113,1156.18574329089,992.410364590663,971.075008668483,937.058432154161,1046.53651156186
"ENSMUSG00000019528","ENSMUSG00000019528","Gyg",757.181521682504,569.4768736665,627.703234217338,1447.92252897454,1496.22174687511,1238.5624990478
"ENSMUSG00000019539","ENSMUSG00000019539","Rcn3",8.57050437522321,0,9.50401160671001,15.6931597221742,0,23.0041993005258
"ENSMUSG00000019558","ENSMUSG00000019558","Slc6a8",9.5112962273518,10.2536162859303,11.5889041182382,16.8333338296272,24.1042454042237,19.4307686974089
"ENSMUSG00000019564","ENSMUSG00000019564","Arid3a",426.177201743441,342.864383657635,538.211068713106,1717.44813333952,1581.68350411593,1556.55911940154
"ENSMUSG00000019577","ENSMUSG00000019577","Pdk4",3.2113273172508,0.920182935607566,2.67083103513103,26.0099289328954,0.75957318746479,3.69409898969433
"ENSMUSG00000019578","ENSMUSG00000019578","Ubxn6",377.231796933573,249.933321484925,212.59426607898,427.929850314871,403.266189791377,359.895989121699
"ENSMUSG00000019579","ENSMUSG00000019579","D17Wsu104e",862.598020547338,719.254888573458,715.867784985745,1086.366841289,1027.58227313435,1098.97980784901
"ENSMUSG00000019590","ENSMUSG00000019590","Cyb561",52.8471708567772,21.2887493822629,25.7847002701316,1.66835873761519,20.5090945991505,7.40317733645227
"ENSMUSG00000019647","ENSMUSG00000019647","Sema6a",48.9054631686107,35.9131352437069,28.1885267723486,109.147404439622,77.0228156883768,149.362833542243
"ENSMUSG00000019659","ENSMUSG00000019659","Ccdc12",362.818018551116,507.53549128265,396.000483612917,372.943325162257,337.862649062005,580.582172822794
"ENSMUSG00000019689","ENSMUSG00000019689","1110001J03Rik",232.417923052687,181.122996166832,169.005309724099,209.605777297274,230.61093152142,188.358606436187
"ENSMUSG00000019699","ENSMUSG00000019699","Akt3",560.921069322579,429.450833439024,520.886318323871,925.548526362934,753.397316869997,836.574854347129
"ENSMUSG00000019710","ENSMUSG00000019710","Mrpl24",1802.0578034328,1711.52173006424,1776.86060129022,1782.69525593606,1792.4932287751,1767.56041026515
"ENSMUSG00000019715","ENSMUSG00000019715","Gle1",2152.41057784235,1969.83910907663,2024.31852532552,1881.5816724578,1835.29780135868,1930.73835747267
"ENSMUSG00000019718","ENSMUSG00000019718","L3hypdh",26.6696024375759,15.9338918007723,13.1290704972673,39.6034757269398,12.8836566208211,34.3539732059024
"ENSMUSG00000019726","ENSMUSG00000019726","Lyst",2848.26428736585,3547.29106810454,4172.2610953457,14088.7649223425,12136.0263543072,13129.9206102906
"ENSMUSG00000019731","ENSMUSG00000019731","Slc35e1",501.417578875882,441.119146308409,425.826880585804,742.175680420564,731.036800038235,503.606481969701
"ENSMUSG00000019732","ENSMUSG00000019732","Calr3",42.9281531481476,47.792638737258,42.0357991777171,33.9905401656056,22.4152606078388,40.3352190213094
"ENSMUSG00000019734","ENSMUSG00000019734","Tmc4",284.99967677883,236.850113559956,203.719037676528,129.825596938069,132.411401639129,105.706542061138
"ENSMUSG00000019737","ENSMUSG00000019737","Syne4",2.31128037332715,4.89813362568833,7.88910953540419,9.38774269075864,4.8358302874826,19.9242452349231
"ENSMUSG00000019738","ENSMUSG00000019738","Polr2i",406.201434504564,508.431865062057,445.897283046783,294.076302604342,303.196682020448,483.609617443328
"ENSMUSG00000019756","ENSMUSG00000019756","Prl8a1",3.80911305565476,8.73179339841118,7.39200902744112,4.61563521240417,2.70290119249604,5.477190309649
"ENSMUSG00000019761","ENSMUSG00000019761","Krt10",0.95227826391369,2.1829483496028,0,3.69250816992333,2.70290119249604,3.2863141857894
"ENSMUSG00000019762","ENSMUSG00000019762","Iyd",5.98869976393404,7.19201674862643,1.35871857946454,3.56326230697801,2.26091014821067,2.74891404048361
"ENSMUSG00000019763","ENSMUSG00000019763","Rmnd1",1279.20089693877,1194.25468336442,1054.85455114338,1254.60548854087,1015.64053085294,1188.3707422251
"ENSMUSG00000019767","ENSMUSG00000019767","Ccdc170",3.97708073145378,2.73504987395711,10.6109637966078,0,1.50511416099748,0.561212200972857
"ENSMUSG00000019768","ENSMUSG00000019768","Esr1",8.50643987559319,3.75173418397969,1.50324189548683,9.72805941750752,5.7674922566602,9.73670197718895
"ENSMUSG00000019773","ENSMUSG00000019773","Fbxo5",3810.95420166922,3031.90945161806,3501.47121532667,2625.68469789228,3038.24957362081,1798.06804550606
"ENSMUSG00000019774","ENSMUSG00000019774","Mtrf1l",311.971660864898,450.057031570836,288.862487574599,346.344470708074,248.83407482158,309.093678766544
"ENSMUSG00000019777","ENSMUSG00000019777","Hdac2",5879.88545195148,5596.20166331459,5212.08032868256,6018.84448145314,5180.57963639912,6026.17951716384
"ENSMUSG00000019782","ENSMUSG00000019782","Rwdd1",1636.91408744422,1866.03034214401,1593.54717467244,1287.84382139994,1550.05088679233,1875.40160898246
"ENSMUSG00000019789","ENSMUSG00000019789","Hey2",6.66594784739583,3.27442252440419,10.5600128963445,4.61563521240417,0.900967064165347,1.0954380619298
"ENSMUSG00000019790","ENSMUSG00000019790","Stxbp5",3121.15718618996,2946.27162882459,2671.5248698311,3493.2686540294,4629.69405663321,2858.44037408707
"ENSMUSG00000019791","ENSMUSG00000019791","Hint3",53.7370735214953,57.9812821361525,64.4756156112434,46.0103589481886,42.7398434976615,44.3536531710558
"ENSMUSG00000019792","ENSMUSG00000019792","Trmt11",665.642506475669,516.267284681061,442.464540356833,492.949840684765,474.809642815138,273.85951548245
"ENSMUSG00000019794","ENSMUSG00000019794","Katna1",1930.74752349167,2227.09281343193,1948.06426850482,1559.97398556845,1712.42043201806,1773.04294008586
"ENSMUSG00000019795","ENSMUSG00000019795","Pcmt1",3416.43667527554,2618.95054437012,2078.70183298872,2441.56902960861,2463.46973387132,1700.08788388063
"ENSMUSG00000019796","ENSMUSG00000019796","Lrp11",8.53387223481091,9.26299697810145,10.3725771767529,12.4620270711917,17.4563852780305,20.5601238969583
"ENSMUSG00000019797","ENSMUSG00000019797","1700021F05Rik",745.99541386639,609.048370090007,592.129287651723,455.103705482707,496.223977530552,553.750133374353
"ENSMUSG00000019802","ENSMUSG00000019802","Sec63",2567.83596981564,3015.58560080971,2286.81392441185,3820.83682172609,3504.240150129,4465.57821546027
"ENSMUSG00000019804","ENSMUSG00000019804","Snx3",2577.43222369188,2334.75890607041,2230.06278439725,2238.21909392921,1886.39975432822,1807.56841601638
"ENSMUSG00000019806","ENSMUSG00000019806","Aig1",333.627898662165,229.476115226042,204.633673400612,116.343419041645,162.598627729418,105.832043532684
"ENSMUSG00000019808","ENSMUSG00000019808","Adat2",308.538157508035,316.527510692405,314.688384311065,240.013031045017,247.76594264547,274.95495354438
"ENSMUSG00000019809","ENSMUSG00000019809","Pex3",867.294761141713,755.271123706702,734.457088859943,792.474289639801,693.757455655172,743.309603930437
"ENSMUSG00000019810","ENSMUSG00000019810","Fuca2",1632.75100879468,2041.15295642724,1529.71058159187,1500.79988230386,1474.85588364671,1661.82273403653
"ENSMUSG00000019813","ENSMUSG00000019813","Cep57l1",495.802303860378,603.817186901236,444.026223289423,464.264751281556,413.017094995843,513.598297996438
"ENSMUSG00000019814","ENSMUSG00000019814","Ltv1",3347.25809765662,3142.35414925322,3064.51574251916,2606.91076796587,2582.17160589789,3158.14793254361
"ENSMUSG00000019817","ENSMUSG00000019817","Plagl1",28.9211764443336,32.2522059402145,31.4598117144916,67.12341631195,65.7910884118411,41.0770674765251
"ENSMUSG00000019818","ENSMUSG00000019818","Cd164",3096.67489455659,2805.30416079953,3107.94231265953,5615.72952290775,4929.33650403063,4809.16654965487
"ENSMUSG00000019820","ENSMUSG00000019820","Utrn",19.0455652782738,60.0310796140769,85.5361044603901,94.158958333045,54.0580238499208,59.1536553442092
"ENSMUSG00000019822","ENSMUSG00000019822","Smpd2",101.914101674876,45.4939949806775,85.0475317206252,192.82307676355,155.155294624845,224.921803521642
"ENSMUSG00000019823","ENSMUSG00000019823","Mical1",245.852247361404,249.648285852962,368.461416132367,665.492585694507,627.067903360834,731.434995400836
"ENSMUSG00000019826","ENSMUSG00000019826","Zbtb24",196.16932236622,160.446703695805,162.624198603705,243.70553921494,190.104050538888,196.083413085434
"ENSMUSG00000019831","ENSMUSG00000019831","Wasf1",17.1410087504464,21.829483496028,22.1760270823234,18.4625408496167,16.2174071549763,18.6224470528066
"ENSMUSG00000019832","ENSMUSG00000019832","Rab32",59.9935306265624,86.2264598093104,81.3120993018523,237.243649917574,224.340798977171,233.328307191047
"ENSMUSG00000019836","ENSMUSG00000019836","Amd-ps4",12.379617430878,15.2806384472196,2.11200257926889,16.616286764655,16.2174071549763,3.2863141857894
"ENSMUSG00000019837","ENSMUSG00000019837","Gtf3c6",142.841739587053,110.238891654941,127.776156045768,126.468404819874,146.857631458952,148.979576422453
"ENSMUSG00000019838","ENSMUSG00000019838","Slc16a10",2063.58699790097,1962.47056629291,2322.14683590615,1093.90554533979,1094.6749829609,940.981295197698
"ENSMUSG00000019841","ENSMUSG00000019841","Rev3l",5892.0883687766,5902.71991728135,6036.99522948989,5194.49124546355,4719.41029452221,4651.29712632013
"ENSMUSG00000019842","ENSMUSG00000019842","Traf3ip2",3.26105448991269,44.1413412428758,2.00902863830946,51.9719600256354,23.1034835938869,18.8944287015961
"ENSMUSG00000019843","ENSMUSG00000019843","Fyn",1025.57866846548,722.804554198153,938.083257237229,1129.68772139428,966.221142924019,875.618764079838
"ENSMUSG00000019845","ENSMUSG00000019845","Tube1",9.5227826391369,29.4698027196377,17.9520219237856,27.693811274425,29.7319131174565,31.7677037959642
