"GENEID","GENENAME","EKLF_GFP_log2","EKLF_minus_log2"
"ENSMUSG00000032041","Tirap",6.01464698820051,6.72591055509901
"ENSMUSG00000032042","Srpr",11.5940617312006,11.6596504151194
"ENSMUSG00000032044","Rpusd4",8.69222816275274,8.71891875620869
"ENSMUSG00000032046","Abhd12",8.7566623209249,9.05002457050395
"ENSMUSG00000032047","Acat1",10.9279151177436,11.2392564716435
"ENSMUSG00000032050","Rdx",12.7766877083947,12.7243436493918
"ENSMUSG00000032051","Fdx1",7.12406211609549,7.43727999689174
"ENSMUSG00000032053","Pou2af1",-Inf,2.93762728609601
"ENSMUSG00000032058","Ppp2r1b",12.7905205359243,11.96038490616
"ENSMUSG00000032059","Alg9",9.75205563501886,9.72064802083966
"ENSMUSG00000032062","2310030G06Rik",0.54131549463116,1.47638074251458
"ENSMUSG00000032064","Dixdc1",2.26021602013733,3.24556611961982
"ENSMUSG00000032066","Bco2",3.18183919822964,4.11117445562651
"ENSMUSG00000032067","Pts",7.95417642948935,8.32836056344356
"ENSMUSG00000032068","Plet1",2.43930382671253,2.26455230258476
"ENSMUSG00000032076","Cadm1",6.5976572018584,6.62070813144233
"ENSMUSG00000032077","Bud13",9.03902805411032,9.34600217204835
"ENSMUSG00000032078","Zpr1",10.7243460898153,10.5581984589138
"ENSMUSG00000032083","Apoa1",8.89506912313875,8.97832671104282
"ENSMUSG00000032085","Tagln",1.51170905406046,1.05380791063906
"ENSMUSG00000032086","Bace1",5.99121954047135,8.36979280259845
"ENSMUSG00000032089","Il10ra",6.53283978496931,8.10656528213495
"ENSMUSG00000032092","Mpzl2",-0.553742048608262,1.4283676178266
"ENSMUSG00000032094","Cd3d",-Inf,2.4397571533229
"ENSMUSG00000032096","Arcn1",12.6909044741991,12.813599263677
"ENSMUSG00000032101","Ddx25",1.63215359969231,2.08957258268643
"ENSMUSG00000032103","Pus3",9.54150578098739,9.35213095866657
"ENSMUSG00000032105","Pdzd3",0.816313549566572,1.19957968327289
"ENSMUSG00000032109","Nlrx1",6.48587119530703,7.99250451887144
"ENSMUSG00000032112","Trappc4",7.1414461335644,6.6550140825491
"ENSMUSG00000032113","Chek1",11.6153178723525,11.3178250162273
