"","GENEID","GENENAME","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2367","ENSMUSG00000045328","Cenpe",11119.0970387336,0.370197371208495,0.0846873769799719,4.3713406225351,1.23485972545444e-05,7.9908518862635e-05
"2368","ENSMUSG00000020333","Acsl6",94.7559457842506,1.67080168240205,0.382306222453638,4.37032301404581,1.24062876008197e-05,8.02479337760788e-05
"2369","ENSMUSG00000018574","Acadvl",1286.22145626403,0.574248846609399,0.131402625040038,4.37014744899068,1.24162667278934e-05,8.02785806125552e-05
"2370","ENSMUSG00000022995","Enah",42.6772026447803,-1.75823831772054,0.402371961396926,-4.36968398994905,1.24426465763905e-05,8.04151973040392e-05
"2371","ENSMUSG00000038943","Prc1",6026.02350509484,0.579528918723638,0.132636744678256,4.36929389460992,1.24648920465879e-05,8.05249900791174e-05
"2372","ENSMUSG00000078621","Hbb-bh2",15.8512367478556,3.30416621740345,0.756560002317243,4.36735514339012,1.25760149192827e-05,8.12086089876279e-05
"2373","ENSMUSG00000027573","Gid8",2092.6492239115,0.703580063617596,0.161180318140355,4.36517356297138,1.27021861758827e-05,8.19821409251707e-05
"2374","ENSMUSG00000045316","Fahd1",331.345155578067,0.735344676217459,0.168460015628374,4.3650991808029,1.27065092744242e-05,8.19821409251707e-05
"2375","ENSMUSG00000046101","Mcmdc2",155.376070847706,1.16389187942151,0.266642368901671,4.36499227116721,1.27127253314767e-05,8.19877111167277e-05
"2376","ENSMUSG00000031400","G6pdx",5161.59664147217,-0.508747198867972,0.116594275825572,-4.36339773342795,1.28057817522023e-05,8.25530972636713e-05
"2377","ENSMUSG00000029413","Naaa",94.91873718639,-1.69159273932532,0.387761730622525,-4.36245406840325,1.28611593225017e-05,8.28752113347742e-05
"2378","ENSMUSG00000069539","Scyl2",2706.39306031437,0.66727157206701,0.152997006114293,4.36133744714286,1.29269817244138e-05,8.32643309810117e-05
"2379","ENSMUSG00000054342","Kcnn4",168.204941652293,1.35931941767903,0.311833336360537,4.35912155366033,1.30585568443157e-05,8.40764670804472e-05
"2380","ENSMUSG00000102040","Clec7a",30.0123895897051,-2.86077685739973,0.65631529245337,-4.35884534505645,1.30750468093978e-05,8.41472655376244e-05
"2381","ENSMUSG00000030309","Caprin2",640.315126772588,1.03890060696542,0.238409835067571,4.35762478788249,1.31481536052854e-05,8.45822212398806e-05
"2382","ENSMUSG00000067818","Myl9",92.6693826994841,1.81209869874642,0.415878101317731,4.35728328326183,1.3168678168759e-05,8.46786916502444e-05
"2383","ENSMUSG00000043592","Unc5cl",42.5091847363121,2.18573310363276,0.501666851537699,4.35694145812724,1.31892526022518e-05,8.47754016402394e-05
"2384","ENSMUSG00000061455","Stx17",761.457007356991,0.627014400128465,0.143974787497058,4.35502917579424,1.3304919601973e-05,8.54829922581461e-05
"2385","ENSMUSG00000035392","Dennd1a",1890.91784359839,0.795474562821348,0.182733987508025,4.35318340977161,1.34174806056791e-05,8.61700421120277e-05
