""	"id"	"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"padj"
"950"	"2900092E17Rik"	766.838798502464	613.422139953842	920.255457051086	1.50019928710159	0.585154161665039	0.000936356312121429	0.0137197878161935
"951"	"2900093L17Rik"	10.5600008190911	3.92639286419236	17.1936087739898	4.37898329807769	2.13059594720403	0.00130325447766415	0.0174512256968287
"NA.287"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.288"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.289"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.290"	NA	NA	NA	NA	NA	NA	NA	NA
"971"	"3110043O21Rik"	132.477635593803	98.5686631859688	166.386608001638	1.68802743816985	0.755338354631503	0.0013738545676066	0.0181141921315206
"974"	"3110052M02Rik"	90.6065206875583	56.0325626706129	125.180478704504	2.23406663443855	1.15967221703895	0.00140617184247088	0.018459331530311
"976"	"3110056O03Rik"	952.78174567228	1430.08540361683	475.478087727734	0.332482302473127	-1.58865054469086	2.32287030256557e-19	3.96752657016931e-17
"NA.291"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.292"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.293"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.294"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.295"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.296"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.297"	NA	NA	NA	NA	NA	NA	NA	NA
"1015"	"4831426I19Rik"	679.093041808734	801.878998535081	556.307085082387	0.693754401971719	-0.527503074400144	0.00242408913801542	0.0279025499568501
"NA.298"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.299"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.300"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.301"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.302"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.303"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.304"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.305"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.306"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.307"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.308"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.309"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.310"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.311"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.312"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.313"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.314"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.315"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.316"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.317"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.318"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.319"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.320"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.321"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.322"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.323"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.324"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.325"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.326"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.327"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.328"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.329"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.330"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.331"	NA	NA	NA	NA	NA	NA	NA	NA
