Gene_id	EKLF+/+ rep1	EKLF+/+ rep2	EKLF+/+ rep3	EKLF-/- rep1	EKLF-/- rep2	EKLF-/- rep3
Mcat	338	521	413	453	481	469
Mcc	28	43	36	27	11	18
Mccc1	253	295	218	365	355	439
Mccc2	144	232	195	278	261	279
Mcee	120	167	153	190	289	204
Mcf2	3	1	0	3	1	1
Mcf2l	31	58	39	58	72	64
Mcfd2	455	620	519	610	863	627
Mchr1	0	0	0	0	0	0
Mcl1	2699	3899	3170	3313	3060	2873
Mcm10	1741	2198	2048	2148	1605	1875
Mcm2	8533	11382	9404	11971	8210	9590
Mcm3	7162	9219	7756	8426	7111	7195
Mcm3ap	1560	2101	1555	2253	1574	1855
Mcm4	5019	6751	5708	6169	4558	5160
Mcm5	7965	10419	9186	12030	9889	10254
Mcm6	8153	10745	9417	10506	9231	8957
Mcm7	7069	8985	8118	9243	8132	8111
Mcm8	294	462	391	480	390	464
Mcm9	190	273	210	212	120	193
Mcmbp	1349	1959	1562	1560	1281	1361
Mcoln1	222	312	226	352	318	325
Mcoln2	22	31	44	33	28	31
Mcoln3	7	6	8	1	0	5
Mcph1	601	847	661	702	443	600
Mcpt-ps1	0	0	0	0	0	0
Mcpt1	0	0	0	0	0	1
Mcpt2	1	0	3	1	1	3
Mcpt4	0	0	0	1	1	0
Mcpt8	33	22	50	50	131	53
Mcpt9	0	0	0	0	0	1
Mcrs1	657	891	781	1165	1144	986
Mctp1	149	263	149	222	231	235
Mctp2	37	57	43	17	11	21
Mcts1	251	345	396	392	538	391
Mcts2	137	214	165	218	250	198
Mdc1	2207	3066	2357	2937	1469	2561
Mdfi	22	73	34	36	41	31
Mdfic	31	72	55	41	37	52
Mdga1	128	246	128	99	98	76
Mdga2	0	4	0	0	0	0
Mdh1	1418	1972	1905	2044	2574	2098
Mdh1b	0	1	0	0	1	0
Mdh2	3734	4798	3920	5411	6737	5333
Mdk	54	135	58	68	54	50
Mdm1	293	503	333	633	468	661
Mdm2	732	973	752	1160	837	1063
Mdm4	817	1124	909	906	221	632
Mdn1	2916	4262	2877	2171	829	1533
Mdp1	337	412	401	497	609	493
Me1	14	19	15	35	23	21
Me2	1495	1827	1666	2058	2120	1996
Me3	0	0	0	0	0	0
Mea1	391	553	519	736	1075	740
Meaf6	245	335	248	367	372	326
Mecom	19	29	22	19	10	7
Mecp2	819	1215	908	971	490	728
Mecr	451	641	593	615	714	645
Med1	1312	1797	1521	1856	1040	1542
Med10	281	369	366	502	541	428
Med11	162	179	201	231	379	272
Med12	2002	2836	2138	2364	1071	1801
Med12l	148	342	162	118	70	123
Med13	1661	2343	1817	1902	988	1506
Med13l	2937	4158	2909	1631	740	1333
Med14	1379	1852	1459	1456	629	1058
Med15	888	1202	876	1075	716	854
Med16	745	1077	849	1190	1073	1041
Med17	761	1095	864	1012	968	911
Med18	94	186	134	164	166	151
Med19	583	710	678	794	742	739
Med20	493	642	613	493	451	504
Med21	272	319	389	508	758	571
Med22	1033	1360	1156	1162	1031	1014
Med23	689	897	698	852	553	707
Med24	1436	1916	1406	1991	1574	1722
Med25	1093	1516	1182	1579	1721	1595
Med26	315	495	337	394	294	355
Med27	210	272	222	317	404	319
Med28	537	730	667	913	1107	850
Med29	179	227	187	282	365	253
Med30	310	406	398	454	570	504
Med31	75	97	138	126	169	140
Med4	395	533	426	552	666	519
Med6	277	323	359	393	432	340
Med7	344	515	468	576	588	591
Med8	736	1024	837	1034	1246	978
Med9	502	672	542	621	646	563
Mef2a	429	588	469	484	212	376
Mef2b	0	1	3	7	9	9
Mef2c	788	1605	943	966	539	778
Mef2d	637	1024	634	717	418	641
Mefv	14	29	27	53	71	39
Meg3	249	295	269	273	199	175
Megf10	0	24	1	1	1	0
Megf11	20	32	9	14	2	9
Megf6	2	27	5	9	1	6
Megf8	466	840	452	559	410	546
Megf9	228	448	273	343	107	284
Mei1	0	1	0	0	0	0
Mei4	11	6	7	6	3	3
Meig1	0	0	0	0	0	1
Meis1	170	391	172	246	165	163
Meis2	19	38	13	18	12	11
Meis3	4	10	8	3	9	5
Melk	643	813	745	940	693	788
Memo1	1025	1323	1320	885	928	807
Men1	841	1253	838	1448	1159	1242
Meox1	0	5	1	1	0	0
Meox2	0	3	0	0	0	0
Mep1a	0	0	0	0	0	0
Mep1b	0	0	0	0	0	0
Mepce	696	982	709	976	1080	936
Mepe	0	0	0	0	0	0
Mertk	57	87	89	65	77	69
Mesdc1	1217	1565	1238	855	883	912
Mesdc2	904	1296	1008	1147	1292	1095
Mesp1	0	0	0	0	0	0
Mesp2	1	0	2	0	1	3
Mest	825	1278	804	874	795	674
Met	331	621	533	587	408	434
Metap1	868	1156	996	1111	1037	946
Metap1d	255	297	253	313	315	327
Metap2	5830	7431	6775	7197	6058	6216
Metrn	478	683	586	579	786	632
Metrnl	14	13	9	26	38	16
Mettl1	316	368	303	366	351	317
Mettl10	157	212	215	206	256	237
Mettl11a	274	375	276	291	391	281
Mettl11b	0	1	0	0	0	0
Mettl13	561	704	608	688	622	590
Mettl14	392	436	381	496	391	482
Mettl15	66	102	102	136	96	114
Mettl16	921	1124	1043	1195	1049	1001
Mettl17	164	186	141	212	246	172
Mettl2	512	666	563	502	573	472
Mettl21a	109	157	134	145	174	143
Mettl21d	113	159	139	160	233	151
Mettl22	127	161	121	150	178	150
Mettl3	442	581	490	670	636	670
Mettl4	234	305	280	341	166	248
Mettl5	649	816	828	987	1146	1004
Mettl6	434	530	490	716	797	701
Mettl7a1	175	248	211	198	200	205
Mettl7a2	0	0	0	0	0	1
Mettl7a3	1	0	0	0	0	0
Mettl7b	0	0	0	0	3	0
Mettl8	216	261	235	261	244	249
Mettl9	766	1066	871	1006	1049	990
Mex3a	221	451	247	229	149	248
Mex3b	63	108	49	44	31	38
Mex3c	464	682	456	513	347	421
Mex3d	150	242	172	147	133	140
Mfap1a	278	336	326	341	382	375
Mfap1b	90	107	106	130	103	92
Mfap2	13	47	8	6	11	9
Mfap3	488	659	584	602	346	427
Mfap3l	15	35	19	15	12	14
Mfap4	4	25	1	1	0	0
Mfap5	0	0	0	0	0	0
Mff	992	1349	1415	1172	1227	1134
Mfge8	112	210	190	172	195	144
Mfhas1	244	275	277	38	24	21
Mfi2	0	1	1	1	2	2
Mfn1	765	1029	828	955	851	843
Mfn2	1225	1724	1328	1990	1383	1576
Mfng	296	441	288	285	387	328
Mfrp	0	0	0	0	0	0
Mfsd1	960	1411	1049	1399	1377	1189
Mfsd10	1018	1351	914	1175	1324	1142
Mfsd11	150	227	144	219	259	221
Mfsd12	437	624	494	421	337	353
Mfsd2a	0	6	5	0	4	3
Mfsd2b	1850	2621	2076	3549	2499	3244
Mfsd3	150	213	188	178	263	184
Mfsd4	107	163	96	83	30	69
Mfsd5	467	678	545	752	846	654
Mfsd6	58	136	64	86	50	84
Mfsd6l	0	7	3	1	1	5
Mfsd7a	12	19	15	4	7	8
Mfsd7b	437	544	462	812	486	667
Mfsd7c	14	10	12	7	8	9
Mfsd8	129	178	157	138	107	143
Mfsd9	30	56	41	30	22	26
Mga	1481	2168	1586	1500	612	1103
Mgam	231	295	219	380	346	278
Mgat1	990	1341	1000	1183	1278	1077
Mgat2	1070	1345	1205	1483	1331	1116
Mgat3	4	12	4	5	7	8
Mgat4a	250	382	291	233	155	239
